path,taxon,group,label,split,anomaly_score
data/raw/Hypotrichida/221218180442_313.jpg,Hypotrichida,healthy,0,test,0.5083905
data/raw/Hypotrichida/221212132320_140.jpg,Hypotrichida,healthy,0,test,0.4816019
data/raw/Hypotrichida/221215125712_370.jpg,Hypotrichida,healthy,0,test,0.5246491
data/raw/Hypotrichida/221214130524_381.jpg,Hypotrichida,healthy,0,test,0.4973652
data/raw/Hypotrichida/221217131528_473.jpg,Hypotrichida,healthy,0,test,0.47415993
data/raw/Hypotrichida/221215125712_327.jpg,Hypotrichida,healthy,0,test,0.4665588
data/raw/Hypotrichida/221218101122_246.jpg,Hypotrichida,healthy,0,test,0.4873623
data/raw/Hypotrichida/221219123632_134.jpg,Hypotrichida,healthy,0,test,0.47643992
data/raw/Hypotrichida/221218180442_99.jpg,Hypotrichida,healthy,0,test,0.48733258
data/raw/Hypotrichida/221218171920_53.jpg,Hypotrichida,healthy,0,test,0.49448705
data/raw/Hypotrichida/221217131528_488.jpg,Hypotrichida,healthy,0,test,0.5002157
data/raw/Hypotrichida/221217131528_236.jpg,Hypotrichida,healthy,0,test,0.4698108
data/raw/Hypotrichida/221218171920_81_2.jpg,Hypotrichida,healthy,0,test,0.45491162
data/raw/Hypotrichida/221218180442_101.jpg,Hypotrichida,healthy,0,test,0.46825308
data/raw/Hypotrichida/221218180442_382.jpg,Hypotrichida,healthy,0,test,0.49347785
data/raw/Hypotrichida/221214130524_127.jpg,Hypotrichida,healthy,0,test,0.50273776
data/raw/Hypotrichida/221218171920_78.jpg,Hypotrichida,healthy,0,test,0.50229156
data/raw/Hypotrichida/221218180442_339.jpg,Hypotrichida,healthy,0,test,0.47052175
data/raw/Hypotrichida/221216134643_128.jpg,Hypotrichida,healthy,0,test,0.529953
data/raw/Hypotrichida/221218171920_55.jpg,Hypotrichida,healthy,0,test,0.5152795
data/raw/Hypotrichida/221215125712_808.jpg,Hypotrichida,healthy,0,test,0.52730286
data/raw/Hypotrichida/221215125712_749.jpg,Hypotrichida,healthy,0,test,0.5277573
data/raw/Hypotrichida/221217131528_130.jpg,Hypotrichida,healthy,0,test,0.48521596
data/raw/Hypotrichida/221218171920_158.jpg,Hypotrichida,healthy,0,test,0.5479925
data/raw/Hypotrichida/221215125712_809.jpg,Hypotrichida,healthy,0,test,0.4961548
data/raw/Hypotrichida/221218171920_147.jpg,Hypotrichida,healthy,0,test,0.46434778
data/raw/Hypotrichida/221215125712_194.jpg,Hypotrichida,healthy,0,test,0.44552568
data/raw/Hypotrichida/221217131528_414.jpg,Hypotrichida,healthy,0,test,0.52261835
data/raw/Hypotrichida/221218171920_159.jpg,Hypotrichida,healthy,0,test,0.48418042
data/raw/Hypotrichida/221217131528_419.jpg,Hypotrichida,healthy,0,test,0.46975943
data/raw/Hypotrichida/221218171920_130.jpg,Hypotrichida,healthy,0,test,0.5043189
data/raw/Hypotrichida/221214130524_57.jpg,Hypotrichida,healthy,0,test,0.48006415
data/raw/Hypotrichida/221219123632_43.jpg,Hypotrichida,healthy,0,test,0.45836842
