fpr,tpr,threshold
0.0,0.0,inf
0.0,0.0006635700066357001,0.6505098342895508
0.0,0.012607830126078301,0.6205217242240906
0.0015455950540958269,0.012607830126078301,0.6198598146438599
0.0015455950540958269,0.021234240212342402,0.607532262802124
0.0030911901081916537,0.021234240212342402,0.6070436835289001
0.0030911901081916537,0.0225613802256138,0.6062737107276917
0.00463678516228748,0.0225613802256138,0.6032851934432983
0.00463678516228748,0.0245520902455209,0.6010316014289856
0.0061823802163833074,0.0245520902455209,0.6006016135215759
0.0061823802163833074,0.0418049104180491,0.5916104316711426
0.00927357032457496,0.0418049104180491,0.5906348824501038
0.00927357032457496,0.051094890510948905,0.5841179490089417
0.010819165378670788,0.051094890510948905,0.583674430847168
0.010819165378670788,0.05308560053085601,0.5831540822982788
0.012364760432766615,0.05308560053085601,0.582818865776062
0.012364760432766615,0.0537491705374917,0.5827382802963257
0.013910355486862442,0.0537491705374917,0.582522988319397
0.013910355486862442,0.06436629064366291,0.5777822136878967
0.015455950540958269,0.06436629064366291,0.577774167060852
0.015455950540958269,0.0696748506967485,0.5747901797294617
0.017001545595054096,0.0696748506967485,0.5745223164558411
0.017001545595054096,0.07962840079628401,0.5727277994155884
0.01854714064914992,0.07962840079628401,0.5725915431976318
0.01854714064914992,0.08427339084273391,0.5712444186210632
0.02009273570324575,0.08427339084273391,0.5709810853004456
0.02009273570324575,0.08958195089581951,0.56984943151474
0.021638330757341576,0.08958195089581951,0.5697675347328186
0.021638330757341576,0.09356337093563372,0.5688778162002563
0.023183925811437404,0.09356337093563372,0.568261444568634
0.023183925811437404,0.09422694094226941,0.5681697130203247
0.02472952086553323,0.09422694094226941,0.568154513835907
0.02472952086553323,0.09555408095554081,0.5675927996635437
0.02627511591962906,0.09555408095554081,0.5675921440124512
0.02627511591962906,0.10617120106171202,0.5649564862251282
0.027820710973724884,0.10617120106171202,0.5636110901832581
0.027820710973724884,0.1074983410749834,0.5633420944213867
0.02936630602782071,0.1074983410749834,0.5632410645484924
0.02936630602782071,0.10948905109489052,0.5629390478134155
0.030911901081916538,0.10948905109489052,0.5626614689826965
0.030911901081916538,0.11015262110152621,0.5623316168785095
0.03245749613601236,0.11015262110152621,0.562300980091095
0.03245749613601236,0.11479761114797611,0.5612501502037048
0.03400309119010819,0.11479761114797611,0.5611422657966614
0.03400309119010819,0.11612475116124751,0.5606035590171814
0.03554868624420402,0.11612475116124751,0.5603338479995728
0.03554868624420402,0.11944260119442601,0.5598630309104919
0.03863987635239567,0.11944260119442601,0.5596551895141602
