path,taxon,group,label,split
data/raw/Hypotrichida/221217131528_418.jpg,Hypotrichida,healthy,0,train
data/raw/Hypotrichida/221217131528_127.jpg,Hypotrichida,healthy,0,train
data/raw/Hypotrichida/221217131528_193.jpg,Hypotrichida,healthy,0,train
data/raw/Hypotrichida/221219123632_215.jpg,Hypotrichida,healthy,0,train
data/raw/Hypotrichida/221217131528_340.jpg,Hypotrichida,healthy,0,train
data/raw/Hypotrichida/221214130524_254.jpg,Hypotrichida,healthy,0,train
data/raw/Hypotrichida/221219123632_24.jpg,Hypotrichida,healthy,0,train
data/raw/Hypotrichida/221215125712_70.jpg,Hypotrichida,healthy,0,train
data/raw/Hypotrichida/221215125712_809_2.jpg,Hypotrichida,healthy,0,train
data/raw/Hypotrichida/221214130524_31.jpg,Hypotrichida,healthy,0,train
data/raw/Hypotrichida/221217131528_120.jpg,Hypotrichida,healthy,0,train
data/raw/Hypotrichida/221218180442_3.jpg,Hypotrichida,healthy,0,train
data/raw/Hypotrichida/221218171920_3.jpg,Hypotrichida,healthy,0,train
data/raw/Hypotrichida/221215125712_317.jpg,Hypotrichida,healthy,0,train
data/raw/Hypotrichida/221219123632_133.jpg,Hypotrichida,healthy,0,train
data/raw/Hypotrichida/221217131528_315.jpg,Hypotrichida,healthy,0,train
data/raw/Hypotrichida/221216103701_110.jpg,Hypotrichida,healthy,0,train
data/raw/Hypotrichida/221216134643_86.jpg,Hypotrichida,healthy,0,train
data/raw/Hypotrichida/221217131528_290.jpg,Hypotrichida,healthy,0,train
data/raw/Hypotrichida/221219123632_159.jpg,Hypotrichida,healthy,0,train
data/raw/Hypotrichida/221216134643_435.jpg,Hypotrichida,healthy,0,train
data/raw/Hypotrichida/221216134643_332.jpg,Hypotrichida,healthy,0,train
data/raw/Hypotrichida/221217131528_73.jpg,Hypotrichida,healthy,0,train
data/raw/Hypotrichida/221217131528_114.jpg,Hypotrichida,healthy,0,train
data/raw/Hypotrichida/221217131528_237.jpg,Hypotrichida,healthy,0,train
data/raw/Hypotrichida/221214130524_0.jpg,Hypotrichida,healthy,0,train
data/raw/Hypotrichida/221219175204_46.jpg,Hypotrichida,healthy,0,train
data/raw/Hypotrichida/221215125712_189.jpg,Hypotrichida,healthy,0,train
data/raw/Hypotrichida/221215125712_810.jpg,Hypotrichida,healthy,0,train
data/raw/Hypotrichida/221217131528_92.jpg,Hypotrichida,healthy,0,train
data/raw/Hypotrichida/221214130524_336.jpg,Hypotrichida,healthy,0,train
data/raw/Hypotrichida/221218180442_44.jpg,Hypotrichida,healthy,0,train
data/raw/Hypotrichida/221217131528_292.jpg,Hypotrichida,healthy,0,train
data/raw/Hypotrichida/221219123632_141.jpg,Hypotrichida,healthy,0,train
data/raw/Hypotrichida/221217131528_362.jpg,Hypotrichida,healthy,0,train
data/raw/Hypotrichida/221215125712_64.jpg,Hypotrichida,healthy,0,train
data/raw/Hypotrichida/221216134643_272.jpg,Hypotrichida,healthy,0,train
data/raw/Hypotrichida/221215125712_239.jpg,Hypotrichida,healthy,0,train
data/raw/Hypotrichida/221216134643_247.jpg,Hypotrichida,healthy,0,train
