path,taxon,group,label,split,anomaly_score,error_type
data/raw/Digononta/220711132531_50700.jpg,Digononta,healthy,0,test,0.7134359,false_positive
data/raw/Digononta/220711132531_35100.jpg,Digononta,healthy,0,test,0.71325856,false_positive
data/raw/Monogononta/250815141807_18400.jpg,Monogononta,healthy,0,test,0.71164995,false_positive
data/raw/Digononta/220629133851_27600_2.jpg,Digononta,healthy,0,test,0.70182836,false_positive
data/raw/Monogononta/220715153913_152100.jpg,Monogononta,healthy,0,test,0.69674015,false_positive
data/raw/Digononta/220714120033_9600.jpg,Digononta,healthy,0,test,0.69456697,false_positive
data/raw/Digononta/221219103325_123.jpg,Digononta,healthy,0,test,0.6944413,false_positive
data/raw/Monogononta/220714151918_229800.jpg,Monogononta,healthy,0,test,0.69099045,false_positive
data/raw/Hypotrichida/221217131528_125.jpg,Hypotrichida,healthy,0,test,0.68970466,false_positive
data/raw/Digononta/220715135748_71100_2.jpg,Digononta,healthy,0,test,0.6887373,false_positive
data/raw/Digononta/220702195412_10500.jpg,Digononta,healthy,0,test,0.6872489,false_positive
data/raw/Monogononta/220714151918_73200.jpg,Monogononta,healthy,0,test,0.6802636,false_positive
data/raw/Nematoda/221204211250_20.jpg,Nematoda,stressed,1,test,0.46960473,false_negative
data/raw/Arcellinida/220926185508_169.jpg,Arcellinida,stressed,1,test,0.49075836,false_negative
data/raw/Nematoda/220821192338_54300.jpg,Nematoda,stressed,1,test,0.49239478,false_negative
data/raw/Arcellinida/220922093805_187.jpg,Arcellinida,stressed,1,test,0.4952176,false_negative
data/raw/Arcellinida/220815204959_47700.jpg,Arcellinida,stressed,1,test,0.5003084,false_negative
data/raw/Nematoda/220826105111_18600.jpg,Nematoda,stressed,1,test,0.5027448,false_negative
data/raw/Nematoda/220704164337_300.jpg,Nematoda,stressed,1,test,0.5047338,false_negative
data/raw/Arcellinida/220924095715_30.jpg,Arcellinida,stressed,1,test,0.511164,false_negative
data/raw/Arcellinida/220924140904_300_2.jpg,Arcellinida,stressed,1,test,0.5132888,false_negative
data/raw/Arcellinida/220927150708_260.jpg,Arcellinida,stressed,1,test,0.5138793,false_negative
data/raw/Nematoda/220825160549_112200.jpg,Nematoda,stressed,1,test,0.5146051,false_negative
data/raw/Arcellinida/220823165512_95400_2.jpg,Arcellinida,stressed,1,test,0.51569206,false_negative
